source_country,target_country,avg_tone,positive_ratio,article_count
Argentina,India,1.2028,73.21,56
Argentina,Netherlands,0.422,62.82,1872
Argentina,China,0.0677,48.67,10006
Argentina,Finland,0.0593,51.42,739
Argentina,Czech Republic,0.0256,53.07,1157
Argentina,Italy,-0.0517,55.6,19276
Argentina,Greece,-0.2727,50.79,3666
Argentina,Chile,-0.294,48.85,4422
Argentina,Japan,-0.365,47.01,7653
Argentina,New Zealand,-0.3776,45.05,768
Argentina,Denmark,-0.3991,43.99,2080
Argentina,Argentina,-0.4129,46.06,371966
Argentina,Vietnam,-0.4171,56.96,79
Argentina,Norway,-0.4513,43.76,2587
Argentina,Belgium,-0.5565,42.56,2474
Argentina,Singapore,-0.5836,37.67,584
Argentina,Spain,-0.6487,44.65,32393
Argentina,Australia,-0.7445,45.35,1453
Argentina,South Africa,-0.8515,46.29,1320
Argentina,United States,-0.8626,39.61,64375
Argentina,Colombia,-0.8923,41.65,12270
Argentina,Brazil,-0.9172,43.78,36987
Argentina,Portugal,-0.9476,39.26,4300
Argentina,Indonesia,-0.9594,43.33,900
Argentina,France,-1.1355,37.9,18930
Argentina,United Kingdom,-1.1597,35.79,14576
Argentina,Germany,-1.2394,35.36,14176
Argentina,Turkey,-1.3112,34.53,5621
Argentina,Thailand,-1.4133,38.81,938
Argentina,Bangladesh,-1.439,52.38,42
Argentina,Canada,-1.4469,35.36,8208
Argentina,Romania,-1.4627,33.33,453
Argentina,Peru,-1.5311,34.38,7394
Argentina,South Korea,-1.5351,39.88,1507
Argentina,Poland,-1.5698,34.48,1917
Argentina,Egypt,-1.5895,29.51,1789
Argentina,Mexico,-1.6234,30.55,28911
Argentina,Sweden,-1.6481,29.49,74021
Argentina,Malaysia,-1.7137,31.1,463
Argentina,Hungary,-1.8498,26.28,1758
Argentina,Qatar,-1.885,21.59,454
Argentina,Nigeria,-2.117,42.47,332
Argentina,Saudi Arabia,-2.5509,18.9,4470
Argentina,Russia,-3.1428,11.65,25261
Argentina,Ukraine,-3.2812,6.31,14549
Argentina,Philippines,-3.4911,14.97,768
Argentina,Iraq,-3.92,4.12,2960
Argentina,Iran,-3.9818,3.2,80572
Argentina,Israel,-4.0857,5.56,11968
Argentina,Pakistan,-6.0792,1.84,3042
Australia,Peru,1.5114,77.75,391
Australia,Finland,1.503,75.63,677
Australia,Chile,1.2957,78.93,522
Australia,Italy,0.9455,70.13,5989
Australia,Indonesia,0.3733,60.53,3689
Australia,Argentina,0.2402,52.62,439
Australia,Japan,0.2028,53.66,6632
Australia,Czech Republic,0.1916,71.03,145
Australia,South Africa,0.1053,57.61,1031
Australia,Vietnam,0.0523,65.98,1211
Australia,Colombia,0.0043,44.76,382
Australia,Singapore,-0.1155,55.51,1126
Australia,Malaysia,-0.2397,42.76,739
Australia,Greece,-0.2718,57.12,1103
Australia,Romania,-0.3143,61.82,110
Australia,Netherlands,-0.3248,59.87,755
Australia,Denmark,-0.3479,44.79,1659
Australia,China,-0.7163,44.28,16682
Australia,Spain,-0.8042,46.53,2495
Australia,Belgium,-0.8854,48.72,390
Australia,Canada,-1.013,44.96,5681
Australia,France,-1.0325,41.73,6063
Australia,Philippines,-1.043,46.24,1397
Australia,Sweden,-1.0435,51.68,952
Australia,Thailand,-1.0895,42.6,1918
Australia,Australia,-1.1684,38.53,270291
Australia,United Kingdom,-1.18,32.47,20795
Australia,Poland,-1.2428,39.33,267
Australia,New Zealand,-1.2608,44.59,4041
Australia,South Korea,-1.3367,54.89,2237
Australia,Egypt,-1.4374,42.55,1342
Australia,Germany,-1.4935,33.97,3506
Australia,India,-1.5364,35.8,2528
Australia,Norway,-1.6272,30.15,1310
Australia,United States,-1.7497,27.7,32409
Australia,Bangladesh,-1.7696,26.15,1021
Australia,Turkey,-1.8132,31.46,1103
Australia,Brazil,-2.1209,31.83,1062
Australia,Saudi Arabia,-2.2066,22.93,2481
Australia,Portugal,-2.5275,18.04,327
Australia,Hungary,-2.6205,29.08,815
Australia,Mexico,-3.2764,16.77,3762
Australia,Qatar,-3.38,7.08,2866
Australia,Ukraine,-3.4997,4.72,9626
Australia,Russia,-3.5151,7.01,11412
Australia,Iran,-3.6885,4.22,42205
Australia,Iraq,-4.0322,3.19,2602
Australia,Israel,-4.0731,3.91,29543
Australia,Pakistan,-5.6648,11.19,3896
