domain,country,layer,article_count
iheart.com,United States,ipinfo,256606
zazoom.it,Italy,tld,153251
haberler.com,United States,ipinfo,60174
tvguide.co.uk,United Kingdom,tld,59804
yahoo.com,United States,ipinfo,51391
indiatimes.com,India,wikidata,47475
inewsgr.com,United States,ipinfo,44642
tribunnews.com,Indonesia,wikidata,44262
baomoi.com,Vietnam,ipinfo,41313
163.com,China,ipinfo,36468
naslovi.net,,unknown,31164
dostor.org,United States,ipinfo,30788
baidu.com,China,ipinfo,30272
globo.com,Brazil,wikidata,28762
news.yam.md,Germany,ipinfo,28365
kompas.com,United States,ipinfo,28285
finanznachrichten.de,Germany,tld,27852
index.hr,United States,ipinfo,24836
sina.com.cn,China,wikidata,23050
el-balad.com,United States,ipinfo,22921
ansa.it,Italy,wikidata,20611
tickerreport.com,United States,ipinfo,19835
china.com,,unknown,19429
merkur.de,Germany,wikidata,18765
ltn.com.tw,,unknown,18702
themarketsdaily.com,United States,ipinfo,18310
dailypolitical.com,United States,ipinfo,17775
malatyaguncel.com,United States,ipinfo,17714
sapo.pt,Portugal,tld,17692
vetogate.com,United States,ipinfo,16958
boredpanda.com,United States,ipinfo,16909
hna.de,Germany,wikidata,16784
manilatimes.net,United States,ipinfo,16605
yam.com,United States,ipinfo,16067
news.mail.ru,Russia,tld,15377
uol.com.br,Brazil,wikidata,15058
openpr.com,Germany,ipinfo,14550
antaranews.com,Indonesia,wikidata,14435
time.mk,United States,ipinfo,14407
thehindu.com,United States,ipinfo,13783
abc.es,Spain,tld,13602
udn.com,United States,ipinfo,13446
lenta.ru,Russia,wikidata,13333
dailymail.co.uk,United Kingdom,wikidata,13295
birgun.net,United States,ipinfo,13079
larazon.es,Spain,tld,13031
allafrica.com,United States,ipinfo,12780
mersinhaber.com,United States,ipinfo,12755
itbear.com.cn,China,tld,12647
euronews.com,,unknown,12590
shorouknews.com,United States,ipinfo,12553
justjared.com,United States,ipinfo,12362
24tv.ua,Ukraine,tld,12254
moneycontrol.com,India,wikidata,11851
cna.com.tw,United States,ipinfo,11821
ettoday.net,,unknown,11727
welt.de,Germany,tld,11674
bignewsnetwork.com,United States,ipinfo,11602
europapress.es,Spain,wikidata,11549
zol.com.cn,China,tld,11380
az-online.de,Germany,tld,11315
kreiszeitung.de,Germany,wikidata,11241
sudouest.fr,France,tld,11151
liputan6.com,United States,ipinfo,11088
indianexpress.com,United States,ipinfo,10855
setn.com,Japan,ipinfo,10603
rt.com,Russia,ipinfo,10437
miragenews.com,United States,ipinfo,10393
maville.com,Belgium,ipinfo,10213
aninews.in,India,wikidata,10162
chinatimes.com,United States,ipinfo,10092
mirror.co.uk,United Kingdom,tld,9923
drimble.nl,Netherlands,tld,9831
ifeng.com,China,ipinfo,9783
newkerala.com,Canada,ipinfo,9649
viva.co.id,Indonesia,wikidata,9599
finanzen.net,Netherlands,ipinfo,9536
lavozdegalicia.es,Spain,tld,9455
zeit.de,Germany,wikidata,9383
oem.com.mx,Mexico,tld,9370
n-tv.de,Germany,tld,9315
obozrevatel.com,Ukraine,wikidata,9278
hindustantimes.com,United States,ipinfo,9236
elperiodico.com,Spain,ipinfo,9144
marketscreener.com,France,ipinfo,9121
cnfol.com,United States,ipinfo,9048
heraldcorp.com,South Korea,ipinfo,8800
elwatannews.com,United States,ipinfo,8780
newspim.com,South Korea,ipinfo,8762
vesti.ru,Russia,tld,8655
aif.ru,Russia,tld,8643
blic.rs,United States,ipinfo,8441
zonebourse.com,France,ipinfo,8408
life.ru,Russia,tld,8376
ilmessaggero.it,Italy,tld,8264
prnewswire.com,United States,ipinfo,8261
freepressjournal.in,India,tld,8166
20minutos.es,Spain,tld,8129
jagonews24.com,Bangladesh,wikidata,8089
dw.com,Bangladesh,wikidata,8063
ria.ru,Russia,wikidata,8025
stiripesurse.ro,Romania,wikidata,7970
focus-news.net,,unknown,7968
edaily.co.kr,South Korea,tld,7892
news.de,Germany,wikidata,7879
aa.com.tr,Turkey,wikidata,7872
elconfidencial.com,United States,ipinfo,7781
kauno.diena.lt,United States,ipinfo,7604
cadena3.com,United States,ipinfo,7595
almasryalyoum.com,United States,ipinfo,7584
ladepeche.fr,France,tld,7578
diariosigloxxi.com,Netherlands,ipinfo,7507
wenxuecity.com,United States,ipinfo,7497
prokerala.com,United States,ipinfo,7433
badische-zeitung.de,Germany,tld,7369
forbes.com,United States,wikidata,7342
webindia123.com,United States,ipinfo,7299
bursadabugun.com,United States,ipinfo,7195
newsit.gr,Greece,tld,7180
winnipegfreepress.com,United States,ipinfo,7163
bd-pratidin.com,United States,ipinfo,7158
express.co.uk,United Kingdom,wikidata,7143
thestar.com.my,Malaysia,wikidata,7127
bisnis.com,United States,ipinfo,7102
fool.com,United States,ipinfo,7095
kommersant.ru,Russia,tld,7076
deperu.com,United States,ipinfo,7066
jpnn.com,United States,ipinfo,7064
bankingnews.gr,Greece,tld,7052
vz.ru,Russia,wikidata,7049
unn.ua,Ukraine,wikidata,7048
interfax.com.ua,Ukraine,tld,7003
dailynews.co.th,Thailand,tld,6971
aol.co.uk,United Kingdom,tld,6958
iz.ru,Russia,wikidata,6957
aktiencheck.de,Germany,tld,6941
elpais.com,United States,ipinfo,6931
ensonhaber.com,Turkey,wikidata,6875
haberturk.com,Turkey,wikidata,6874
larepublica.pe,Peru,tld,6864
eastmoney.com,China,ipinfo,6756
jornaldebrasilia.com.br,Brazil,tld,6733
sabah.com.tr,Turkey,tld,6715
informer.rs,,unknown,6709
dailyinqilab.com,United States,ipinfo,6702
lne.es,Spain,tld,6695
republika.co.id,Indonesia,tld,6592
newsbeast.gr,Greece,wikidata,6581
haber7.com,Turkey,ipinfo,6571
jugantor.com,India,ipinfo,6560
tele.at,,unknown,6532
andaluciainformacion.es,Spain,tld,6514
koran-jakarta.com,United States,ipinfo,6513
argaam.com,,unknown,6467
news18.com,India,wikidata,6441
em.com.br,Brazil,tld,6440
mundodeportivo.com,Spain,ipinfo,6427
yeniakit.com.tr,Turkey,tld,6355
lrytas.lt,United States,ipinfo,6347
mk.ru,Russia,tld,6346
korrespondent.net,Ukraine,wikidata,6331
