domain,country
nytimes.com,United States
bbc.com,United Kingdom
theguardian.com,United Kingdom
foxnews.com,United States
reuters.com,United Kingdom
elpais.com,Spain
espn.com,United States
npr.org,United States
forbes.com,United States
time.com,United States
cbsnews.com,United States
news.sky.com,United Kingdom
dailymail.co.uk,United Kingdom
independent.co.uk,United Kingdom
lemonde.fr,France
nbcnews.com,United States
edition.cnn.com,United States
fortune.com,United States
abc.net.au,Australia
as.com,Spain
investopedia.com,United States
cbc.ca,Canada
aljazeera.com,Qatar
apnews.com,United States
washingtonpost.com,United States
globalnews.ca,Canada
politico.com,United States
indianexpress.com,India
nypost.com,United States
abcnews.go.com,United States
hindustantimes.com,India
nos.nl,Netherlands
usatoday.com,United States
businessinsider.com,United States
lequipe.fr,France
welt.de,Germany
abc.es,Spain
economist.com,United Kingdom
elcomercio.pe,Peru
leparisien.fr,France
skysports.com,United Kingdom
taz.de,Germany
theatlantic.com,United States
kompas.com,Indonesia
metro.co.uk,United Kingdom
cnbc.com,United States
timesofindia.indiatimes.com,India
aljazeera.net,Qatar
ansa.it,Italy
cctv.com,China
infobae.com,Argentina
smh.com.au,Australia
expressen.se,Sweden
ft.com,United Kingdom
mirror.co.uk,United Kingdom
si.com,United States
hurriyet.com.tr,Turkey
idnes.cz,Czech Republic
zdf.de,Germany
aftonbladet.se,Sweden
bloomberg.com,United States
cbssports.com,United States
lanacion.com.ar,Argentina
bild.de,Germany
rtve.es,Spain
euronews.com,France
faz.net,Germany
foxsports.com,United States
svt.se,Sweden
cadenaser.com,Spain
milliyet.com.tr,Turkey
okdiario.com,Spain
newyorker.com,United States
n-tv.de,Germany
stern.de,Germany
news.cn,China
veja.abril.com.br,Brazil
clarin.com,Argentina
france.tv,France
ouest-france.fr,France
entrepreneur.com,United States
inc.com,United States
nrk.no,Norway
telegraph.co.uk,United Kingdom
t-online.de,Germany
asahi.com,Japan
fastcompany.com,United States
livemint.com,India
thehindu.com,India
dw.com,Germany
gazzetta.it,Italy
standard.co.uk,United Kingdom
business-standard.com,India
ntv.co.jp,Japan
denik.cz,Czech Republic
estadao.com.br,Brazil
haberturk.com,Turkey
heavy.com,United States
nbcsports.com,United States
sports.sohu.com,China
tbs.co.jp,Japan
wsj.com,United States
nhk.or.jp,Japan
people.com.cn,China
latimes.com,United States
ndtv.com,India
siriusxm.com,United States
toyokeizai.net,Japan
corriere.it,Italy
is.fi,Finland
itv.com,United Kingdom
lefigaro.fr,France
liberation.fr,France
tv-asahi.co.jp,Japan
actu.fr,France
ekstrabladet.dk,Denmark
elmundo.es,Spain
iol.co.za,South Africa
sina.com.cn,China
spiegel.de,Germany
tf1.fr,France
theglobeandmail.com,Canada
thestar.com.my,Malaysia
aa.com.tr,Turkey
ctvnews.ca,Canada
larepublica.pe,Peru
rp-online.de,Germany
rtl.de,Germany
voanews.com,United States
www.chinaqw.com,China
bleacherreport.com,United States
eltiempo.com,Colombia
nj.com,United States
republika.co.id,Indonesia
tn.com.ar,Argentina
ilsole24ore.com,Italy
jpost.com,Israel
lavanguardia.com,Spain
oglobo.globo.com,Brazil
ynet.co.il,Israel
yomiuri.co.jp,Japan
cleveland.com,United States
elespectador.com,Colombia
theage.com.au,Australia
mediaindonesia.com,Indonesia
sport1.de,Germany
chosun.com,South Korea
elfinanciero.com.mx,Mexico
pravda.com.ua,Ukraine
protothema.gr,Greece
vg.no,Norway
yle.fi,Finland
zeit.de,Germany
arte.tv,France
caracol.com.co,Colombia
OutlookIndia.com,India
chicago.suntimes.com,United States
chicagotribune.com,United States
g1.globo.com,Brazil
hln.be,Belgium
ilmessaggero.it,Italy
thestar.com,Canada
tsn.ca,Canada
tv2.dk,Denmark
www.capitalfm.com,United Kingdom
adevarul.ro,Romania
fr.de,Germany
lapresse.ca,Canada
mundodeportivo.com,Spain
nikkei.com,Japan
politiken.dk,Denmark
sfgate.com,United States
afr.com,Australia
dn.se,Sweden
in.gr,Greece
larazon.es,Spain
lepoint.fr,France
linternaute.com,France
tv2.no,Norway
bostonglobe.com,United States
cnnturk.com,Turkey
depor.com,Peru
eldiario.es,Spain
elespanol.com,Spain
ladepeche.fr,France
novinky.cz,Czech Republic
nymag.com,United States
varzesh3.com,Iran
ct24.ceskatelevize.cz,Czech Republic
eleconomista.es,Spain
fanatik.com.tr,Turkey
francebleu.fr,France
fujitv.co.jp,Japan
lance.com.br,Brazil
rainews.it,Italy
univision.com,United States
corrieredellosport.it,Italy
dallasnews.com,United States
ifeng.com,China
india.com,India
newsit.gr,Greece
rfi.fr,France
startribune.com,United States
vanguardngr.com,Nigeria
arabnews.com,Saudi Arabia
di.se,Sweden
hotnews.ro,Romania
kathimerini.gr,Greece
libertaddigital.com,Spain
nouvelobs.com,France
oregonlive.com,United States
sozcu.com.tr,Turkey
aawsat.com,United Kingdom
inquirer.net,Philippines
mehrnews.com,Iran
mercurynews.com,United States
r7.com,Brazil
repubblica.it,Italy
straitstimes.com,Singapore
telecinco.es,Spain
afp.com,France
eluniversal.com.mx,Mexico
hs.fi,Finland
jiji.com,Japan
nzherald.co.nz,New Zealand
okezone.com,Indonesia
perfil.com,Argentina
rnz.co.nz,New Zealand
zeenews.india.com,India
aajtak.in,India
channelnewsasia.com,Singapore
chunichi.co.jp,Japan
cumhuriyet.com.tr,Turkey
dazn.com,United Kingdom
economictimes.indiatimes.com,India
focus.de,Germany
golf.com,United States
manchestereveningnews.co.uk,United Kingdom
naftemporiki.gr,Greece
telerama.fr,France
20minutes.fr,France
aftenposten.no,Norway
denverpost.com,United States
europe1.fr,France
jagran.com,India
japantimes.co.jp,Japan
laopinion.com,United States
mediafax.ro,Romania
merkur.de,Germany
sabah.com.tr,Turkey
sudouest.fr,France
boursorama.com,France
cronista.com,Argentina
eastmoney.com,China
kiplinger.com,United States
lexpress.fr,France
mk.co.kr,South Korea
mlive.com,United States
pagina12.com.ar,Argentina
rp.pl,Poland
sbs.com.au,Australia
tv-tokyo.co.jp,Japan
businessinsider.com.pl,Poland
huffingtonpost.fr,France
los40.com,Spain
manoramaonline.com,India
walla.co.il,Israel
xinhuanet.com,China
channel4.com,United Kingdom
financialexpress.com,India
parismatch.com,France
bfmtv.com,France
cmjornal.pt,Portugal
gestion.pe,Peru
hna.de,Germany
internazionale.it,Italy
lavoixdunord.fr,France
oklahoman.com,United States
philstar.com,Philippines
thesun.co.uk,United Kingdom
dailyrecord.co.uk,United Kingdom
fd.nl,Netherlands
globes.co.il,Israel
indiatoday.in,India
korrespondent.net,Ukraine
latercera.com,Chile
marca.com,Spain
nerdwallet.com,United States
nicematin.com,France
publico.pt,Portugal
sankei.com,Japan
seattletimes.com,United States
sportschau.de,Germany
dailystar.co.uk,United Kingdom
ga.de,Germany
ilgazzettino.it,Italy
richmond.com,United States
sandiegouniontribune.com,United States
svd.se,Sweden
syracuse.com,United States
thehindubusinessline.com,India
youm7.com,Egypt
courrierinternational.com,France
dawn.com,Pakistan
ilgiornale.it,Italy
jawapos.com,Indonesia
post-gazette.com,United States
sportsnet.ca,Canada
3sat.de,Germany
bisnis.com,Indonesia
diariodesevilla.es,Spain
e24.no,Norway
gazeta.pl,Poland
lesoir.be,Belgium
live365.com,United States
nydailynews.com,United States
ocregister.com,United States
seekingalpha.com,United States
www.rmf.fm,Poland
bnnvara.nl,Netherlands
chinadaily.com.cn,China
cope.es,Spain
foxsports.com.au,Australia
gsp.ro,Romania
ilpost.it,Italy
lavozdegalicia.es,Spain
leprogres.fr,France
nationalpost.com,Canada
nrc.nl,Netherlands
ole.com.ar,Argentina
telegraaf.nl,Netherlands
www.nrj.fr,France
almasryalyoum.com,Egypt
amarujala.com,India
ambito.com,Argentina
buffalonews.com,United States
diariovasco.com,Spain
elcorreo.com,Spain
express.co.uk,United Kingdom
handelsblatt.com,Germany
hexun.com,China
hn.cz,Czech Republic
inquirer.com,United States
jornada.com.mx,Mexico
la-croix.com,France
ledauphine.com,France
marketwatch.com,United States
siamsport.co.th,Thailand
sueddeutsche.de,Germany
telegraf.com.ua,Ukraine
walesonline.co.uk,United Kingdom
aktualne.cz,Czech Republic
antena3.com,Spain
bt.dk,Denmark
cooperativa.cl,Chile
dhnet.be,Belgium
globaltimes.cn,China
gp.se,Sweden
humanite.fr,France
nu.nl,Netherlands
polskieradio24.pl,Poland
spectator.co.uk,United Kingdom
sport5.co.il,Israel
thejakartapost.com,Indonesia
timesnownews.com,India
tuttosport.com,Italy
ahram.org.eg,Egypt
cafonline.com,Egypt
eldia.com,Argentina
emol.com,Chile
gmanetwork.com,Philippines
lavoz.com.ar,Argentina
lesechos.fr,France
letelegramme.fr,France
magyarnemzet.hu,Hungary
mg.co.za,South Africa
msnbc.com,United States
newsbomb.gr,Greece
newsobserver.com,United States
sussexexpress.co.uk,United Kingdom
thairath.co.th,Thailand
112.ua,Ukraine
adnkronos.com,Italy
atv.com.tr,Turkey
deccanchronicle.com,India
huanqiu.com,China
joongang.co.kr,South Korea
jurnalul.ro,Romania
khan.co.kr,South Korea
latribune.fr,France
sacbee.com,United States
semana.com,Colombia
supersport.com,South Africa
tampabay.com,United States
tiscali.it,Italy
tribune.com.pk,Pakistan
tvp.pl,Poland
blikk.hu,Hungary
demorgen.be,Belgium
deseret.com,United States
diretta.it,Italy
estrepublicain.fr,France
gmw.cn,China
hurriyetdailynews.com,Turkey
ksta.de,Germany
lalibre.be,Belgium
losandes.com.ar,Argentina
midilibre.fr,France
nw.de,Germany
thedailystar.net,Bangladesh
www.biobiochile.cl,Chile
ynetnews.com,Israel
bhaskar.com,India
borsen.dk,Denmark
calciomercato.com,Italy
delo.ua,Ukraine
donga.com,South Korea
gazetadopovo.com.br,Brazil
ilmanifesto.it,Italy
kauppalehti.fi,Finland
libero.pe,Peru
liverpoolecho.co.uk,United Kingdom
maariv.co.il,Israel
news.com.au,Australia
nieuwsblad.be,Belgium
prosport.ro,Romania
saechsische.de,Germany
www.eska.pl,Poland
wyborcza.pl,Poland
belfasttelegraph.co.uk,United Kingdom
china.com,China
elperiodico.com,Spain
israelnationalnews.com,Israel
mathrubhumi.com,India
mopo.de,Germany
